scene number,type,name,sub scenes,subs range,1,2,3,4,5,6,7,8,9,10,11,12,13,14,comments
8.1,Scene,What Do You Want - scene,,"Hi, Mr. Davidson.",sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,fade in - hold
8.2,Song,What Do You Want Paul?,,"What do you want, Paul?",bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,fast fade in - hold
,,,,"Carrol, my wife,",pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,fade in - hold
,,,,"Melissa, will you get my wife on the phone for me?",bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,fast fade in - hold
,,,,Um… I forgot what it was.,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,pi,fast fade in - hold
,,,,"Paul, now you know what it is to want!",bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,abrupt - hold
,,,,,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,fade to black - hold
9.1,Scene,Cup of Roasted Coffee - scene,,Just black coffee.,wbr,wbr,wbr,wbr,wbr,wbr,wbr,bg,bg,bg,bg,bg,bg,bg,fast fade in - hold
9.2,Song,Cup of Roasted Coffee,,,,,,,,,,,,,,,,,
9.3,Scene,Emma is annoyed,,"You can’t quit, Emma.",wbr,wbr,wbr,wbr,wbr,wbr,wbr,bg,bg,bg,bs,bg,bs,bg,slow fade in - hold
,,,,The song’s so simple! We’ll teach it to you…,wbr,wbr,wbr,wbr,wbr,wbr,wbr,bs,bg,bg,bs,bg,bs,bs,slow fade in only for changed color - hold 
,,,,"Why, everyone here will be singing it soon!",wbr,wbr,wbr,wbr,wbr,wbr,wbr,bs,bs,bs,bs,bs,bs,bs,slow fade in only for changed color - hold 
,,,,They’ve all had their coffee!,bg,bg,bg,bs,bg,bs,bg,bs,bs,bs,bs,bs,bs,bs,slow fade in only for changed color - hold 
,,,,Their apotheosis will be upon them,bs,bg,bg,bs,bg,bs,bs,bs,bs,bs,bs,bs,bs,bs,slow fade in only for changed color - hold 
,,,,FUCKING GROSS!,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,slow fade in only for changed color - hold 
9.4,Song,Cup of Poisened Coffee,,,,,,,,,,,,,,,,,
,,,,,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,bla,fast fade to black - hold
,scene,walking through alleyway ,,Through here Emma!,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,bs,fade in - hold
10.1,Scene,Trashcans,,Oh my god.,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,sy,fade in - hold
